py5_name,java_name,decorator,type,category,subcategory,implementation,comments
py5drawpdf,,,cell magic,magics,cell magics,PYTHON,magics
py5drawdxf,,,cell magic,magics,cell magics,PYTHON,magics
py5drawsvg,,,cell magic,magics,cell magics,PYTHON,magics
py5draw,,,cell magic,magics,cell magics,PYTHON,magics
py5bot,,,cell magic,magics,cell magics,PYTHON,magics
