py5_name,processing_name,decorator,type,implementation,comments
get_tessellation,getTessellation,,method,SKIP,
tessellation,tessellation,,unknown,SKIP,
get_family,getFamily,,method,JAVA,
family,family,,unknown,SKIP,
get_kind,getKind,,method,JAVA,
kind,kind,,unknown,SKIP,
get_params,getParams,,method,SKIP,
get_param,getParam,,method,SKIP,
set_path,setPath,,method,JAVA,
get_vertex_count,getVertexCount,,method,JAVA,
vertex_count,vertexCount,,unknown,SKIP,
get_vertex,getVertex,@_get_pvector_wrapper,method,JAVA,this and all of the vector functions need to be re-implemented using numpy
get_vertex_x,getVertexX,,method,JAVA,
get_vertex_y,getVertexY,,method,JAVA,
get_vertex_z,getVertexZ,,method,JAVA,
set_vertex,setVertex,,method,JAVA,
get_normal,getNormal,@_get_pvector_wrapper,method,JAVA,this and all of the vector functions need to be re-implemented using numpy
get_normal_x,getNormalX,,method,JAVA,
get_normal_y,getNormalY,,method,JAVA,
get_normal_z,getNormalZ,,method,JAVA,
set_normal,setNormal,,method,JAVA,
set_attrib,setAttrib,,method,SKIP,
get_texture_u,getTextureU,,method,JAVA,
get_texture_v,getTextureV,,method,JAVA,
set_texture_uv,setTextureUV,,method,JAVA,
set_texture_mode,setTextureMode,,method,JAVA,
set_texture,setTexture,,method,JAVA,
get_fill,getFill,,method,JAVA,
set_fill,setFill,@_py5shape_type_fixer,method,JAVA,
get_tint,getTint,,method,JAVA,
set_tint,setTint,@_py5shape_type_fixer,method,JAVA,
get_stroke,getStroke,,method,JAVA,
set_stroke,setStroke,@_py5shape_type_fixer,method,JAVA,
get_stroke_weight,getStrokeWeight,,method,JAVA,
set_stroke_weight,setStrokeWeight,,method,JAVA,
set_stroke_join,setStrokeJoin,,method,JAVA,
set_stroke_cap,setStrokeCap,,method,JAVA,
get_ambient,getAmbient,,method,JAVA,
get_specular,getSpecular,,method,JAVA,
set_specular,setSpecular,,method,JAVA,
get_emissive,getEmissive,,method,JAVA,
set_emissive,setEmissive,,method,JAVA,
get_shininess,getShininess,,method,JAVA,
set_shininess,setShininess,,method,JAVA,
get_vertex_codes,getVertexCodes,@_return_numpy_array,method,JAVA,
vertex_codes,vertexCodes,,unknown,SKIP,
get_vertex_code_count,getVertexCodeCount,,method,JAVA,
vertex_code_count,vertexCodeCount,,unknown,SKIP,
get_vertex_code,getVertexCode,,method,JAVA,
is_closed,isClosed,,method,SKIP,
closed,closed,,unknown,SKIP,
translate,translate,,method,JAVA,
rotate_x,rotateX,,method,JAVA,
rotate_y,rotateY,,method,JAVA,
rotate_z,rotateZ,,method,JAVA,
reset_matrix,resetMatrix,,method,JAVA,
apply_matrix,applyMatrix,,method,JAVA,
add_name,addName,,method,SKIP,
